event_name,event_alias,no_bouts,date,venue,city,attendence
Pride 25,Body Blow,8,"March 16, 2003",Yokohama Arena,"Yokohama, Japan",19247
Pride 26,Bad to the Bone,7,"June 8, 2003",Yokohama Arena,"Yokohama, Japan",17187
Pride Total Elimination 2003,,7,"August 10, 2003",Saitama Super Arena,"Saitama, Japan",40316
Pride Bushido 1,,11,"October 5, 2003",Saitama Super Arena,"Saitama, Japan",12340
Pride Final Conflict 2003,,8,"November 9, 2003",Tokyo Dome,"Tokyo, Japan",67451
Pride Shockwave 2003,,10,"December 31, 2003",Saitama Super Arena,"Saitama, Japan",39716
Pride 27,Inferno,7,"February 1, 2004",Osaka-jo Hall,"Osaka, Japan",13366
Pride Bushido 2,,11,"February 15, 2004",Yokohama Arena,"Yokohama, Japan",14117
Pride Total Elimination 2004,,8,"April 25, 2004",Saitama Super Arena,"Saitama, Japan",42110
Pride Bushido 3,,12,"May 23, 2004",Yokohama Arena,"Yokohama, Japan",14536
Pride Critical Countdown 2004,,7,"June 20, 2004",Saitama Super Arena,"Saitama, Japan",43711
Pride Bushido 4,,11,"July 19, 2004",Nagoya Rainbow Hall,"Nagoya, Japan",10892
Pride Final Conflict 2004,,7,"August 15, 2004",Saitama Super Arena,"Saitama, Japan",47629
Pride Bushido 5	,,8,"October 14, 2004",Osaka Castle Hall,"Osaka, Japan",0
Pride 28,High Octane,9,"October 31, 2004",Saitama Super Arena,"Saitama, Japan",24028
Pride Shockwave 2004,,11,"December 31, 2004",Saitama Super Arena,"Saitama, Japan",48398
Pride 29,Fists of Fire,10,"February 20, 2005",Saitama Super Arena,"Saitama, Japan",22047
Pride Bushido 6,,10,"April 3, 2005",Yokohama Arena,"Yokohama, Japan",8000
Pride Total Elimination 2005,,8,"April 23, 2005",Osaka Dome,"Osaka, Japan",45423
Pride Bushido 7,,10,"May 22, 2005",Ariake Coliseum,"Tokyo,Japan",8861
Pride Critical Countdown 2005,,8,"June 26, 2005",Saitama Super Arena,"Saitama, Japan",35000
Pride Bushido 8,,11,"July 17, 2005",Nagoya Rainbow Hall,"Nagoya, Japan",9784
Pride Final Conflict 2005,,7,"August 28, 2005",Saitama Super Arena,"Saitama, Japan",35000
Pride Bushido 9	The Tournament,,14,"September 25, 2005",Ariake Coliseum,"Tokyo, Japan",10775
Pride 30,Fully Loaded,8,"October 23, 2005",Saitama Super Arena,"Saitama, Japan",23776
Pride Shockwave 2005,,12,"December 31, 2005",Saitama Super Arena,"Saitama, Japan",49801
Pride 31,Unbreakable,9,"February 26, 2006",Saitama Super Arena,"Saitama, Japan",22141
Pride Bushido 10,,11,"April 2, 2006",Ariake Coliseum,"Tokyo, Japan",9313
Pride Total Elimination Absolute,,8,"May 5, 2006",Osaka Dome,"Osaka, Japan",43000
Pride Bushido 11,Survival 2006,11,"June 4, 2006",Saitama Super Arena,"Saitama, Japan",7500
Pride Critical Countdown Absolute,,9,"July 1, 2006",Saitama Super Arena,"Saitama, Japan",34000
Pride Bushido 12,,14,"August 27, 2006",Nagoya Rainbow Hall,"Nagoya, Japan",9952
Pride Final Conflict Absolute,,9,"September 10, 2006",Saitama Super Arena,"Saitama, Japan",35000
Pride 32,The Real Deal,8,"October 21, 2006",Thomas & Mack Center,"Las Vegas, Nevada, United States",11727
Pride Bushido 13,,12,"November 5, 2006",Yokohama Arena,"Yokohama, Japan",8000
Pride Shockwave 2006,,10,"December 31, 2006",Saitama Super Arena,"Saitama, Japan",48709
Pride 33,The Second Coming,9,"February 24, 2007",Thomas & Mack Center,"Las Vegas, Nevada, United States",12911
Pride 34,Kamikaze,8,"April 8, 2007",Saitama Super Arena,"Saitama, Japan",23336
